EAR,MAR,TIME
0.3294828279410793,0.4,22:43:08.765003
0.3294828279410793,0.4,22:43:08.765003
0.2530201970185306,0.2833333333333329,22:43:08.769032
0.3294828279410793,0.4,22:43:08.765003
0.2530201970185306,0.2833333333333329,22:43:08.769032
0.35762743152733223,0.3333333333333314,22:43:08.830700
0.3294828279410793,0.4,22:43:08.765003
0.2530201970185306,0.2833333333333329,22:43:08.769032
0.35762743152733223,0.3333333333333314,22:43:08.830700
0.21940143409513113,0.3833333333333343,22:43:08.833793
0.3294828279410793,0.4,22:43:08.765003
0.2530201970185306,0.2833333333333329,22:43:08.769032
0.35762743152733223,0.3333333333333314,22:43:08.830700
0.21940143409513113,0.3833333333333343,22:43:08.833793
0.32409150947737086,0.35,22:43:08.869191
0.3294828279410793,0.4,22:43:08.765003
0.2530201970185306,0.2833333333333329,22:43:08.769032
0.35762743152733223,0.3333333333333314,22:43:08.830700
0.21940143409513113,0.3833333333333343,22:43:08.833793
0.32409150947737086,0.35,22:43:08.869191
0.25512584301107416,0.33333333333333426,22:43:08.873287
0.3294828279410793,0.4,22:43:08.765003
0.2530201970185306,0.2833333333333329,22:43:08.769032
0.35762743152733223,0.3333333333333314,22:43:08.830700
0.21940143409513113,0.3833333333333343,22:43:08.833793
0.32409150947737086,0.35,22:43:08.869191
0.25512584301107416,0.33333333333333426,22:43:08.873287
0.32409150947737086,0.35,22:43:08.917739
0.3294828279410793,0.4,22:43:08.765003
0.2530201970185306,0.2833333333333329,22:43:08.769032
0.35762743152733223,0.3333333333333314,22:43:08.830700
0.21940143409513113,0.3833333333333343,22:43:08.833793
0.32409150947737086,0.35,22:43:08.869191
0.25512584301107416,0.33333333333333426,22:43:08.873287
0.32409150947737086,0.35,22:43:08.917739
0.25512584301107416,0.33333333333333426,22:43:08.917739
0.3294828279410793,0.4,22:43:08.765003
0.2530201970185306,0.2833333333333329,22:43:08.769032
0.35762743152733223,0.3333333333333314,22:43:08.830700
0.21940143409513113,0.3833333333333343,22:43:08.833793
0.32409150947737086,0.35,22:43:08.869191
0.25512584301107416,0.33333333333333426,22:43:08.873287
0.32409150947737086,0.35,22:43:08.917739
0.25512584301107416,0.33333333333333426,22:43:08.917739
0.33205674434673427,0.3333333333333314,22:43:08.963430
0.3294828279410793,0.4,22:43:08.765003
0.2530201970185306,0.2833333333333329,22:43:08.769032
0.35762743152733223,0.3333333333333314,22:43:08.830700
0.21940143409513113,0.3833333333333343,22:43:08.833793
0.32409150947737086,0.35,22:43:08.869191
0.25512584301107416,0.33333333333333426,22:43:08.873287
0.32409150947737086,0.35,22:43:08.917739
0.25512584301107416,0.33333333333333426,22:43:08.917739
0.33205674434673427,0.3333333333333314,22:43:08.963430
0.2954823752135033,0.4,22:43:08.963430
0.3294828279410793,0.4,22:43:08.765003
0.2530201970185306,0.2833333333333329,22:43:08.769032
0.35762743152733223,0.3333333333333314,22:43:08.830700
0.21940143409513113,0.3833333333333343,22:43:08.833793
0.32409150947737086,0.35,22:43:08.869191
0.25512584301107416,0.33333333333333426,22:43:08.873287
0.32409150947737086,0.35,22:43:08.917739
0.25512584301107416,0.33333333333333426,22:43:08.917739
0.33205674434673427,0.3333333333333314,22:43:08.963430
0.2954823752135033,0.4,22:43:08.963430
0.33205674434673427,0.3333333333333314,22:43:09.001272
